./input/horse2zebra/trainA\n02381460_1001.jpg,./input/horse2zebra/trainB\n02391049_10007.jpg
./input/horse2zebra/trainA\n02381460_1002.jpg,./input/horse2zebra/trainB\n02391049_10027.jpg
./input/horse2zebra/trainA\n02381460_1003.jpg,./input/horse2zebra/trainB\n02391049_1004.jpg
./input/horse2zebra/trainA\n02381460_1006.jpg,./input/horse2zebra/trainB\n02391049_10047.jpg
./input/horse2zebra/trainA\n02381460_1008.jpg,./input/horse2zebra/trainB\n02391049_10063.jpg
./input/horse2zebra/trainA\n02381460_1009.jpg,./input/horse2zebra/trainB\n02391049_101.jpg
./input/horse2zebra/trainA\n02381460_1011.jpg,./input/horse2zebra/trainB\n02391049_1012.jpg
./input/horse2zebra/trainA\n02381460_1014.jpg,./input/horse2zebra/trainB\n02391049_10122.jpg
./input/horse2zebra/trainA\n02381460_1019.jpg,./input/horse2zebra/trainB\n02391049_10123.jpg
./input/horse2zebra/trainA\n02381460_102.jpg,./input/horse2zebra/trainB\n02391049_10129.jpg
./input/horse2zebra/trainA\n02381460_1023.jpg,./input/horse2zebra/trainB\n02391049_10131.jpg
./input/horse2zebra/trainA\n02381460_1025.jpg,./input/horse2zebra/trainB\n02391049_10132.jpg
./input/horse2zebra/trainA\n02381460_1027.jpg,./input/horse2zebra/trainB\n02391049_10134.jpg
./input/horse2zebra/trainA\n02381460_1028.jpg,./input/horse2zebra/trainB\n02391049_10158.jpg
./input/horse2zebra/trainA\n02381460_1034.jpg,./input/horse2zebra/trainB\n02391049_10159.jpg
./input/horse2zebra/trainA\n02381460_1035.jpg,./input/horse2zebra/trainB\n02391049_10165.jpg
./input/horse2zebra/trainA\n02381460_1037.jpg,./input/horse2zebra/trainB\n02391049_10175.jpg
./input/horse2zebra/trainA\n02381460_1038.jpg,./input/horse2zebra/trainB\n02391049_102.jpg
./input/horse2zebra/trainA\n02381460_1044.jpg,./input/horse2zebra/trainB\n02391049_10209.jpg
./input/horse2zebra/trainA\n02381460_1045.jpg,./input/horse2zebra/trainB\n02391049_10239.jpg
./input/horse2zebra/trainA\n02381460_1048.jpg,./input/horse2zebra/trainB\n02391049_1024.jpg
./input/horse2zebra/trainA\n02381460_105.jpg,./input/horse2zebra/trainB\n02391049_10244.jpg
./input/horse2zebra/trainA\n02381460_1051.jpg,./input/horse2zebra/trainB\n02391049_1025.jpg
./input/horse2zebra/trainA\n02381460_1052.jpg,./input/horse2zebra/trainB\n02391049_10257.jpg
./input/horse2zebra/trainA\n02381460_1053.jpg,./input/horse2zebra/trainB\n02391049_1026.jpg
./input/horse2zebra/trainA\n02381460_1058.jpg,./input/horse2zebra/trainB\n02391049_10269.jpg
./input/horse2zebra/trainA\n02381460_1063.jpg,./input/horse2zebra/trainB\n02391049_10278.jpg
./input/horse2zebra/trainA\n02381460_1068.jpg,./input/horse2zebra/trainB\n02391049_1028.jpg
./input/horse2zebra/trainA\n02381460_1074.jpg,./input/horse2zebra/trainB\n02391049_10295.jpg
./input/horse2zebra/trainA\n02381460_1075.jpg,./input/horse2zebra/trainB\n02391049_10307.jpg
./input/horse2zebra/trainA\n02381460_108.jpg,./input/horse2zebra/trainB\n02391049_10322.jpg
./input/horse2zebra/trainA\n02381460_1082.jpg,./input/horse2zebra/trainB\n02391049_10324.jpg
./input/horse2zebra/trainA\n02381460_1083.jpg,./input/horse2zebra/trainB\n02391049_10336.jpg
./input/horse2zebra/trainA\n02381460_1084.jpg,./input/horse2zebra/trainB\n02391049_10339.jpg
./input/horse2zebra/trainA\n02381460_1098.jpg,./input/horse2zebra/trainB\n02391049_10342.jpg
./input/horse2zebra/trainA\n02381460_11.jpg,./input/horse2zebra/trainB\n02391049_10356.jpg
./input/horse2zebra/trainA\n02381460_1101.jpg,./input/horse2zebra/trainB\n02391049_1038.jpg
./input/horse2zebra/trainA\n02381460_1105.jpg,./input/horse2zebra/trainB\n02391049_10398.jpg
./input/horse2zebra/trainA\n02381460_1106.jpg,./input/horse2zebra/trainB\n02391049_1042.jpg
./input/horse2zebra/trainA\n02381460_1108.jpg,./input/horse2zebra/trainB\n02391049_10426.jpg
./input/horse2zebra/trainA\n02381460_1122.jpg,./input/horse2zebra/trainB\n02391049_10427.jpg
./input/horse2zebra/trainA\n02381460_1127.jpg,./input/horse2zebra/trainB\n02391049_10429.jpg
./input/horse2zebra/trainA\n02381460_1132.jpg,./input/horse2zebra/trainB\n02391049_10432.jpg
./input/horse2zebra/trainA\n02381460_1134.jpg,./input/horse2zebra/trainB\n02391049_10435.jpg
./input/horse2zebra/trainA\n02381460_1135.jpg,./input/horse2zebra/trainB\n02391049_10452.jpg
./input/horse2zebra/trainA\n02381460_1144.jpg,./input/horse2zebra/trainB\n02391049_10454.jpg
./input/horse2zebra/trainA\n02381460_1147.jpg,./input/horse2zebra/trainB\n02391049_1046.jpg
./input/horse2zebra/trainA\n02381460_1155.jpg,./input/horse2zebra/trainB\n02391049_10461.jpg
./input/horse2zebra/trainA\n02381460_1158.jpg,./input/horse2zebra/trainB\n02391049_10467.jpg
./input/horse2zebra/trainA\n02381460_1159.jpg,./input/horse2zebra/trainB\n02391049_10497.jpg
